,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
119,9.8,3.4,6.6000000000000005,7.0,34.4,68.5,-0.26060239174734096,-1.3333333333333333
120,8.0,1.3,4.65,12.0,16.8,84.9,0.3805063771123649,2.0
121,8.0,1.3,4.65,12.0,16.8,84.9,-0.26060239174734096,-1.3333333333333333
122,8.0,1.3,4.65,12.0,16.8,84.9,1.473069419436178,51.0
123,8.0,1.3,4.65,12.0,16.8,84.9,0.8760580505981934,6.0
124,8.0,1.3,4.65,12.0,16.8,84.9,0.8760580505981934,6.0
125,8.0,1.3,4.65,12.0,16.8,84.9,-0.3805063771123649,-2.0
126,8.0,1.3,4.65,12.0,16.8,84.9,1.1760052070951352,12.0
127,8.0,1.3,4.65,12.0,16.8,84.9,1.3654009376051293,24.0
128,14.7,4.7,9.7,0.0,16.2,180.3,0.3805063771123649,2.0
129,14.7,4.7,9.7,0.0,16.2,180.3,1.39408747072486,28.0
130,14.7,4.7,9.7,0.0,16.2,180.3,0.6747409422235527,4.0
131,14.7,4.7,9.7,0.0,16.2,180.3,0.8760580505981934,6.0
132,14.7,4.7,9.7,0.0,16.2,180.3,-0.5880026035475676,-3.3333333333333335
133,14.7,4.7,9.7,0.0,16.2,180.3,1.0121970114513341,8.0
134,14.7,4.7,9.7,0.0,16.2,180.3,1.1760052070951352,12.0
135,14.7,4.7,9.7,0.0,16.2,180.3,0.0,0.0
136,14.7,4.7,9.7,0.0,16.2,180.3,0.8760580505981934,6.0
137,14.7,4.7,9.7,0.0,16.2,180.3,0.8760580505981934,6.0
138,13.3,4.9,9.1,1.0,98.4,141.7,0.8760580505981934,6.0
139,13.3,4.9,9.1,1.0,98.4,141.7,0.6747409422235527,4.0
140,13.3,4.9,9.1,1.0,98.4,141.7,0.3805063771123649,2.0
141,13.3,4.9,9.1,1.0,98.4,141.7,1.1760052070951352,12.0
142,13.3,4.9,9.1,1.0,98.4,141.7,-0.26060239174734096,-1.3333333333333333
143,13.3,4.9,9.1,1.0,98.4,141.7,0.0,0.0
144,13.3,4.9,9.1,1.0,98.4,141.7,0.8760580505981934,6.0
145,13.3,4.9,9.1,1.0,98.4,141.7,0.6747409422235527,4.0
146,13.3,4.9,9.1,1.0,98.4,141.7,1.4399689307208396,38.0
147,18.2,9.7,13.95,0.0,25.4,166.6,-0.4636476090008061,-2.5
148,18.2,9.7,13.95,0.0,25.4,166.6,0.8760580505981934,6.0
149,18.2,9.7,13.95,0.0,25.4,166.6,0.6747409422235527,4.0
150,18.2,9.7,13.95,0.0,25.4,166.6,0.8760580505981934,6.0
151,18.2,9.7,13.95,0.0,25.4,166.6,0.8760580505981934,6.0
